,user,item,rating
0,1,2,2
1,1,11,5
2,1,22,4
3,1,25,4
4,1,28,4
5,1,31,4
6,1,48,4
7,1,50,5
8,1,57,3
9,1,58,5
10,1,59,5
11,1,63,4
12,1,64,5
13,1,69,4
14,1,81,4
15,1,86,4
16,1,94,4
17,1,120,3
18,1,121,2
19,1,124,4
20,1,129,4
21,1,144,5
22,1,151,3
23,1,168,4
24,1,169,1
25,1,173,4
26,1,174,3
27,1,181,5
28,1,183,5
29,1,188,4
30,1,203,4
31,1,208,4
32,1,209,5
33,1,214,5
34,1,216,5
35,1,221,3
36,1,222,3
37,1,226,3
38,1,227,5
39,1,230,4
40,1,233,3
41,1,235,1
42,1,237,2
43,1,239,4
44,1,240,1
45,1,269,5
46,1,273,5
47,1,275,4
48,1,282,5
49,1,288,4
50,1,294,2
51,1,298,5
52,1,300,3
53,1,312,4
54,1,328,3
55,1,331,3
56,1,333,4
57,1,338,2
58,1,357,4
59,1,358,2
60,1,367,5
61,1,375,2
62,1,385,4
63,1,391,3
64,1,392,2
65,1,401,2
66,1,402,3
67,1,403,5
68,1,413,3
69,1,414,4
70,1,417,2
71,1,421,2
72,1,423,5
73,1,428,5
74,1,434,4
75,1,440,3
76,1,448,3
77,1,449,4
78,1,450,4
79,1,455,1
80,1,466,4
81,1,471,3
82,1,475,3
83,1,476,4
84,1,480,5
85,1,483,5
86,1,484,5
87,1,487,2
88,1,496,4
89,1,497,5
90,1,511,2
91,1,513,1
92,1,514,1
93,1,516,5
94,1,527,3
95,1,528,4
96,1,531,4
97,1,541,3
98,1,544,1
99,1,550,2
100,1,558,4
101,1,570,4
102,1,582,3
103,1,591,5
104,1,603,5
105,1,604,5
106,1,616,1
107,1,628,3
108,1,633,3
109,1,644,4
110,1,646,2
111,1,655,4
112,1,658,1
113,1,660,2
114,1,675,5
115,1,678,2
116,1,699,4
117,1,704,3
118,1,724,3
119,1,737,3
120,1,751,3
121,1,771,3
122,1,778,4
123,1,808,2
124,1,819,3
125,1,844,1
126,1,872,3
127,1,891,2
128,1,894,1
129,1,923,3
130,1,925,2
131,1,934,3
132,1,972,3
133,1,1001,2
134,1,1007,4
135,1,1037,4
136,1,1215,4
137,1,1252,1
138,1,1284,4
139,1,1297,1
140,1,1397,3
141,2,4,4
142,2,5,3
143,2,9,4
144,2,12,5
145,2,13,3
146,2,22,2
147,2,41,3
148,2,44,1
149,2,48,3
150,2,50,5
151,2,58,3
152,2,61,3
153,2,64,4
154,2,67,3
155,2,69,4
156,2,76,3
157,2,82,1
158,2,87,4
159,2,88,3
160,2,91,3
161,2,94,5
162,2,97,4
163,2,98,4
164,2,99,3
165,2,100,5
166,2,116,3
167,2,129,4
168,2,140,3
169,2,147,3
170,2,151,3
171,2,153,5
172,2,154,5
173,2,157,4
174,2,161,4
175,2,162,2
176,2,179,4
177,2,181,2
178,2,183,4
179,2,189,1
180,2,197,5
181,2,203,4
182,2,209,3
183,2,210,4
184,2,211,5
185,2,215,1
186,2,216,4
187,2,218,3
188,2,233,3
189,2,236,2
190,2,237,3
