user,item,rating
5,2,3.0
1,61,4.0
1,189,3.0
1,33,4.0
1,160,4.0
5,17,4.0
1,20,4.0
1,202,5.0
5,439,1.0
5,225,2.0
1,171,5.0
2,292,4.0
1,265,4.0
5,110,1.0
2,251,5.0
1,155,2.0
1,117,3.0
2,50,5.0
5,454,1.0
1,47,4.0
4,264,3.0
3,335,1.0
1,222,4.0
5,424,1.0
4,303,5.0
5,1,4.0
3,245,1.0
1,253,5.0
5,363,3.0
1,113,5.0
5,98,3.0
1,227,4.0
3,337,1.0
5,102,3.0
1,17,3.0
5,211,4.0
1,90,4.0
5,382,5.0
5,376,2.0
4,361,5.0
5,62,4.0
5,231,2.0
1,64,5.0
5,377,1.0
3,343,3.0
4,357,4.0
5,407,3.0
5,24,4.0
5,423,4.0
1,92,3.0
1,228,5.0
1,266,1.0
1,121,4.0
1,114,5.0
1,132,4.0
1,74,1.0
1,134,4.0
4,260,4.0
1,98,4.0
1,186,4.0
2,314,1.0
1,221,5.0
5,394,2.0
5,384,3.0
1,84,4.0
1,31,3.0
3,323,2.0
5,267,4.0
1,70,3.0
3,331,4.0
1,60,5.0
1,177,5.0
1,27,2.0
5,445,3.0
1,260,1.0
5,167,2.0
1,145,2.0
1,174,5.0
1,159,3.0
1,82,5.0
1,56,4.0
1,272,3.0
5,426,3.0
1,80,4.0
3,294,2.0
5,222,4.0
5,453,1.0
5,403,3.0
1,229,4.0
1,140,1.0
5,173,4.0
5,241,1.0
1,225,2.0
1,235,5.0
2,297,4.0
1,120,1.0
1,125,3.0
1,215,3.0
2,290,3.0
1,6,5.0
1,104,1.0
1,49,3.0
5,234,2.0
1,206,4.0
1,76,4.0
1,72,4.0
5,154,3.0
3,332,1.0
1,185,4.0
4,356,3.0
1,96,5.0
5,436,5.0
3,328,5.0
1,213,2.0
1,233,2.0
2,312,3.0
5,42,5.0
1,258,5.0
1,81,5.0
1,78,1.0
5,422,4.0
1,212,4.0
1,143,1.0
3,334,3.0
1,151,4.0
1,51,4.0
5,139,3.0
3,350,3.0
2,281,3.0
1,175,5.0
2,13,4.0
1,107,4.0
2,280,3.0
3,341,1.0
5,40,4.0
5,90,3.0
5,153,5.0
1,218,3.0
1,209,4.0
1,259,1.0
5,94,3.0
5,389,1.0
5,411,1.0
1,108,5.0
1,262,3.0
1,12,5.0
5,109,5.0
3,318,4.0
5,230,3.0
1,14,5.0
2,303,4.0
1,97,3.0
5,388,2.0
1,44,5.0
1,53,3.0
1,163,4.0
3,300,2.0
1,210,4.0
5,227,4.0
1,184,4.0
