,user,item,rating
0,1,4,1
1,1,30,10
2,1,34,43
3,1,43,8
4,1,49,141
5,1,50,2
6,1,70,61
7,1,71,542
8,1,84,1
9,1,98,8
10,1,118,18
11,1,140,1
12,1,162,93
13,1,163,1
14,1,166,1
15,1,177,8
16,1,199,2
17,1,202,17
18,1,213,3
19,1,217,6
20,1,244,2
21,1,249,2
22,1,264,1
23,1,265,10
24,1,310,1
25,1,311,1
26,1,314,10
27,1,323,8
28,1,324,2
29,1,429,7
30,1,435,41
31,1,438,34
32,1,442,1
33,1,452,1
34,1,485,2
35,1,506,163
36,1,508,28
37,1,509,1
38,1,511,81
39,1,523,2
40,1,527,14
41,1,528,1
42,1,530,1
43,1,531,1
44,1,532,5
45,1,537,1
46,1,538,1
47,1,540,4
48,1,542,5
49,1,545,5
50,1,546,4
51,1,547,3
52,1,549,2
53,1,552,4
54,1,555,1
55,1,556,6
56,1,557,79
57,1,560,4
58,1,561,5
59,1,563,3
60,1,565,1
61,1,569,1
62,1,570,3
63,1,574,1
64,1,578,6
65,1,583,2
66,1,584,141
67,1,585,3
68,1,587,5
69,1,589,4
70,1,591,3
71,1,592,1
72,1,593,2
73,1,595,1
74,1,598,1
75,1,600,9
76,1,602,1
77,1,608,6
78,1,610,23
79,1,615,2
80,1,617,4
81,1,628,10
82,1,630,81
83,1,632,1
84,1,635,13
85,1,637,12
86,1,640,1
87,1,642,4
88,1,644,1
89,1,645,2
90,1,647,16
91,1,653,1
92,1,654,3
93,1,656,1
94,1,658,15
95,1,663,18
96,1,664,1
97,1,675,21
98,1,676,1
99,1,677,9
100,1,679,11
101,1,683,10
102,1,684,2
103,1,691,1
104,1,692,2
105,1,694,3
106,1,703,3
107,1,705,2
108,1,710,1
109,1,711,2
110,1,712,8
111,1,713,4
112,1,714,1
113,1,719,1
114,1,731,54
115,1,737,5
116,1,739,7
117,1,748,2
118,1,749,9
119,1,751,14
120,1,752,1
121,1,755,26
122,1,756,7
123,1,759,29
124,1,760,18
125,1,761,15
126,1,762,50
127,1,767,1
128,1,768,4
129,1,771,54
130,1,777,30
131,1,782,3
132,1,786,2
133,1,794,43
134,1,795,8
135,1,800,13
136,1,802,3
137,1,804,29
138,1,806,107
139,1,816,4
140,1,823,1
141,1,828,4
142,1,836,1
143,1,837,15
144,1,838,1
145,1,840,8
146,1,841,3
147,1,845,11
148,1,846,2
149,1,847,1
150,1,848,6
151,1,849,2
152,1,850,5
153,1,853,3
154,1,856,2
155,1,862,2
156,1,867,23
157,1,870,2
158,1,880,55
