,user,item,rating
0,1,1,2
1,1,3,4
2,1,4,4
3,1,7,4
4,1,9,4
5,1,10,4
6,1,11,5
7,1,12,5
8,1,13,5
9,1,14,5
10,1,15,5
11,1,18,4
12,1,22,4
13,1,23,5
14,1,24,4
15,1,25,4
16,1,28,5
17,1,30,5
18,1,32,4
19,1,33,3
20,1,39,4
21,1,42,5
22,1,44,4
23,1,45,5
24,1,47,5
25,1,48,5
26,1,50,5
27,1,51,5
28,1,52,4
29,1,53,5
30,1,54,4
31,1,55,5
32,1,56,5
33,1,58,4
34,1,59,5
35,1,60,5
36,1,61,4
37,1,64,5
38,1,65,4
39,1,68,2
40,1,69,5
41,1,70,3
42,1,71,3
43,1,73,4
44,1,77,4
45,1,79,5
46,1,81,4
47,1,82,5
48,1,83,4
49,1,86,3
50,1,87,4
51,1,89,5
52,1,90,2
53,1,91,4
54,1,92,5
55,1,95,2
56,1,96,5
57,1,97,5
58,1,98,5
59,1,99,4
60,1,100,5
61,1,101,5
62,1,102,2
63,1,106,4
64,1,109,4
65,1,111,4
66,1,116,4
67,1,118,5
68,1,121,4
69,1,123,3
70,1,125,3
71,1,126,5
72,1,127,5
73,1,129,5
74,1,131,4
75,1,132,5
76,1,133,3
77,1,134,5
78,1,135,5
79,1,136,3
80,1,137,5
81,1,140,1
82,1,141,4
83,1,142,1
84,1,143,1
85,1,147,5
86,1,148,3
87,1,149,4
88,1,151,5
89,1,161,3
90,1,168,5
91,1,169,4
92,1,170,4
93,1,172,5
94,1,173,5
95,1,174,5
96,1,175,4
97,1,176,5
98,1,177,4
99,1,179,5
100,1,180,4
101,1,181,5
102,1,182,5
103,1,183,5
104,1,184,4
105,1,185,5
106,1,186,5
107,1,187,5
108,1,188,4
109,1,190,5
110,1,191,4
111,1,193,4
112,1,194,3
113,1,195,5
114,1,196,5
115,1,197,5
116,1,198,5
117,1,199,4
118,1,200,5
119,1,201,4
120,1,202,4
121,1,203,4
122,1,204,5
123,1,205,3
124,1,208,5
125,1,209,5
126,1,210,4
127,1,211,5
128,1,212,4
129,1,215,5
130,1,216,4
131,1,218,5
132,1,219,5
133,1,220,2
134,1,226,4
135,1,227,3
136,1,228,4
137,1,229,3
138,1,230,4
139,1,232,3
140,1,234,5
141,1,235,1
142,1,237,3
143,1,238,5
144,1,240,2
145,1,241,4
146,1,243,1
147,1,258,3
148,1,265,4
149,1,273,2
150,1,274,1
151,1,276,5
152,1,277,4
153,1,284,2
154,1,285,4
155,1,286,3
156,1,287,5
157,1,288,5
158,1,290,3
159,1,313,5
160,1,318,5
161,1,321,4
162,1,323,4
163,1,357,5
164,1,367,4
165,1,369,2
166,1,371,4
167,1,380,3
168,1,381,5
169,1,382,4
170,1,385,4
171,1,387,3
172,1,392,2
173,1,393,2
174,1,402,4
175,1,403,5
176,1,404,3
177,1,405,3
178,1,410,3
179,1,416,3
180,1,418,2
181,1,419,2
182,1,421,5
183,1,423,5
184,1,425,4
185,1,427,5
186,1,428,5
187,1,429,4
188,1,430,5
189,1,431,4
190,1,432,4
191,1,433,5
192,1,434,4
193,1,435,5
194,1,436,5
195,1,443,5
196,1,447,5
197,1,448,4
198,1,451,5
199,1,458,4
200,1,462,5
201,1,465,2
202,1,466,4
203,1,468,3
204,1,470,3
205,1,472,3
206,1,473,3
207,1,474,5
208,1,476,2
209,1,477,3
210,1,479,5
211,1,480,5
212,1,483,5
213,1,484,4
214,1,485,2
215,1,488,3
216,1,489,4
217,1,490,4
218,1,491,4
219,1,492,4
220,1,496,4
221,1,498,5
222,1,501,1
223,1,503,4
224,1,504,5
225,1,505,4
226,1,506,5
227,1,507,4
228,1,508,5
229,1,510,4
230,1,511,5
231,1,513,4
232,1,514,5
233,1,515,4
234,1,516,4
235,1,517,5
236,1,519,4
