,user,item,rating
0,1,2,855
1,1,3,779
2,1,4,12
3,1,5,18
4,1,6,8
5,1,14,146
6,1,30,268
7,1,32,100
8,1,34,87
9,1,37,39
10,1,40,42
11,1,43,271
12,1,47,7
13,1,49,448
14,1,50,50
15,1,70,46
16,1,71,247
17,1,73,112
18,1,84,180
19,1,89,10
20,1,93,4
21,1,98,30
22,1,111,8
23,1,112,7
24,1,118,33
25,1,131,15
26,1,132,444
27,1,135,95
28,1,140,9
29,1,145,138
30,1,152,178
31,1,158,3
32,1,160,5
33,1,162,2
34,1,163,2
35,1,165,9
36,1,166,12
37,1,167,10
38,1,169,10
39,1,171,10
40,1,173,11
41,1,176,15
42,1,177,13
43,1,178,137
44,1,197,5
45,1,199,39
46,1,201,226
47,1,202,2
48,1,208,26
49,1,213,9
50,1,217,2
51,1,219,2
52,1,223,42
53,1,224,2
54,1,226,4
55,1,229,3
56,1,236,22
57,1,237,67
58,1,241,4
59,1,244,6
60,1,246,7
61,1,249,24
62,1,250,21
63,1,261,8
64,1,264,518
65,1,265,4
66,1,266,35
67,1,275,22
68,1,281,18
69,1,282,2
70,1,294,7
71,1,296,111
72,1,303,2
73,1,304,13
74,1,309,3
75,1,310,2
76,1,311,2
77,1,314,1
78,1,315,1
79,1,323,38
80,1,324,8
81,1,337,39
82,1,343,1
83,1,345,1
84,1,347,152
85,1,354,2
86,1,371,1
87,1,377,5
88,1,385,2
89,1,406,9
90,1,429,11
91,1,434,1
92,1,435,1
93,1,438,6
94,1,442,21
95,1,444,1
96,1,447,4
97,1,448,1
98,1,450,1
99,1,452,1
100,1,457,5
101,1,458,10
102,1,463,5
103,1,485,1
104,1,489,1
105,1,498,1
106,1,504,1
107,2,30,4
108,2,34,12
109,2,50,1
110,2,70,30
111,2,71,64
112,2,98,4
113,2,118,410
114,2,162,122
115,2,177,2
116,2,208,1
117,2,217,56
118,2,236,353
119,2,241,52
120,2,261,7
121,2,265,6
122,2,303,7
123,2,429,216
124,2,434,60
125,2,435,2
126,2,457,141
127,2,506,136
128,2,508,1
129,2,509,10
130,2,510,21
131,2,511,99
132,2,512,3
133,2,517,181
134,2,518,8
135,2,519,4
136,2,520,89
137,2,523,245
138,2,524,27
139,2,527,119
140,2,528,51
141,2,529,9
142,2,530,19
143,2,531,106
144,2,532,327
145,2,535,81
146,2,537,58
147,2,538,160
148,2,539,11
149,2,540,310
150,2,542,746
151,2,543,372
152,2,545,413
153,2,546,103
154,2,547,31
155,2,548,168
156,2,549,956
157,2,550,22
158,2,551,29
159,2,552,114
160,2,553,20
161,2,555,22
162,2,556,28
163,2,557,190
164,2,559,306
165,2,560,67
166,2,561,99
167,2,562,226
168,2,563,70
169,2,564,595
170,2,565,566
171,2,567,52
172,2,569,64
173,2,570,448
174,2,572,10
175,2,574,860
176,2,575,278
177,2,578,21
178,2,579,3
179,2,582,96
180,2,583,176
181,2,584,11
182,2,585,49
183,2,587,360
184,2,588,341
185,2,589,1724
186,2,591,134
187,2,592,40
188,2,593,269
189,2,594,51
190,2,595,238
191,2,596,19
192,2,597,287
193,2,598,12
194,2,599,12
195,2,600,195
196,2,602,1
197,2,604,7
198,2,608,8
199,2,609,50
200,2,610,706
201,2,615,23
202,2,617,2
203,2,621,6
204,2,622,5
205,2,623,78
206,2,624,10
207,2,625,10
208,2,626,32
209,2,627,221
210,2,628,7
211,2,630,45
212,2,631,186
213,2,632,230
214,2,633,1
215,2,634,77
216,2,635,56
217,2,636,105
218,2,637,104
219,2,638,252
220,2,640,164
221,2,642,10
222,2,644,12
223,2,645,18
224,2,647,222
225,2,650,24
226,2,651,16
227,2,653,3
228,2,654,255
229,2,656,136
230,2,658,478
231,2,660,2
232,2,661,194
233,2,663,16
234,2,664,12
235,2,665,2411
236,2,673,2
237,2,675,200
238,2,676,133
239,2,677,96
240,2,678,64
241,2,679,114
242,2,680,3
243,2,681,731
244,2,683,2
245,2,684,31
246,2,686,7
247,2,688,245
248,2,689,250
249,2,691,2
250,2,692,51
251,2,694,174
252,2,695,1
253,2,696,3
254,2,697,4
255,2,700,91
256,2,701,12
257,2,702,21
258,2,703,63
259,2,705,49
260,2,707,28
261,2,708,110
262,2,710,67
263,2,711,121
264,2,712,420
265,2,713,1
266,2,714,124
267,2,715,1
268,2,717,31
269,2,718,166
270,2,719,69
271,2,720,6
272,2,724,20
273,2,726,8
274,2,730,19
275,2,731,67
276,2,732,4
277,2,733,323
278,2,735,71
279,2,737,1
280,2,739,653
281,2,742,31
282,2,743,171
283,2,745,28
284,2,746,557
285,2,748,941
286,2,749,106
287,2,750,165
288,2,751,300
289,2,752,275
290,2,753,19
291,2,755,235
292,2,756,85
293,2,759,78
294,2,760,335
295,2,761,212
296,2,762,99
297,2,764,2
298,2,765,42
299,2,766,71
300,2,767,1
301,2,768,60
302,2,770,191
303,2,771,141
304,2,772,214
305,2,775,18
306,2,777,391
307,2,778,241
308,2,780,120
309,2,781,1
310,2,782,1
311,2,783,1
312,2,785,3
313,2,786,2
314,2,788,75
315,2,789,90
316,2,790,90
317,2,794,380
318,2,795,238
319,2,796,110
320,2,799,9
321,2,800,209
322,2,802,17
323,2,804,5
324,2,805,65
325,2,806,8
326,2,807,8
327,2,810,1
328,2,811,5
329,2,812,7
330,2,813,61
331,2,814,27
332,2,815,168
333,2,816,131
334,2,817,43
335,2,819,1
336,2,823,2
337,2,826,116
338,2,828,37
339,2,829,9
340,2,831,87
341,2,836,75
342,2,837,50
343,2,838,51
344,2,839,3
345,2,840,36
346,2,841,51
347,2,842,2
348,2,843,3
349,2,844,61
350,2,845,2
351,2,846,50
352,2,847,29
353,2,848,4
354,2,849,165
355,2,850,97
356,2,851,48
357,2,853,95
358,2,856,39
359,2,857,24
360,2,858,196
361,2,859,7
362,2,862,216
363,2,863,35
364,2,864,65
365,2,865,9
366,2,866,391
367,2,867,62
368,2,870,244
369,2,872,2
370,2,876,44
371,2,880,110
372,2,881,123
