,user,item,rating
0,1,1,4
3,1,6,5
4,1,7,5
8,1,12,5
9,1,13,2
10,1,14,5
11,1,15,3
12,1,16,5
13,1,17,3
14,1,20,4
15,1,21,1
16,1,23,3
17,1,25,3
18,2,1,4
19,2,2,3
20,2,4,4
21,2,5,3
23,2,8,1
25,2,12,5
26,2,13,5
27,2,14,5
29,2,16,4
30,2,17,4
31,2,21,3
34,3,4,4
36,3,8,1
37,3,10,2
40,3,14,5
41,3,15,5
42,3,17,3
43,3,19,4
45,3,21,1
46,3,22,4
48,3,24,4
49,3,25,3
54,4,10,3
55,4,12,4
56,4,13,2
57,4,15,3
58,4,16,5
59,4,21,3
61,4,24,3
62,4,25,4
63,5,1,5
64,5,2,3
66,5,4,3
70,5,12,4
71,5,13,3
72,5,15,5
73,5,16,4
74,5,17,3
75,5,18,4
76,5,19,5
77,5,20,4
79,5,22,5
80,5,23,4
81,5,24,4
82,5,25,3
84,6,7,2
85,6,8,5
87,6,12,5
91,6,17,4
92,6,18,4
93,6,19,3
94,6,21,1
95,6,22,4
96,6,23,4
97,6,24,4
98,6,25,4
99,7,1,4
100,7,3,4
101,7,4,3
103,7,7,5
105,7,9,5
106,7,10,2
107,7,11,4
110,7,15,3
112,7,23,5
113,8,1,4
114,8,2,3
115,8,3,4
117,8,6,5
119,8,9,4
120,8,10,2
121,8,11,4
122,8,13,3
123,8,14,4
124,8,15,3
125,8,18,4
126,8,19,3
128,8,21,3
129,8,22,5
132,8,25,3
133,9,1,4
135,9,3,4
136,9,4,5
137,9,5,3
139,9,7,3
140,9,8,5
142,9,11,2
143,9,12,4
144,9,13,2
145,9,17,4
146,9,19,3
149,9,22,3
150,9,24,4
151,9,25,4
